"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed"
"Mathematical Statistician",NA,NA,6,"prose","There will be much more about some of those matters, including the “3σ-limits” mentioned near the end of the above extract, during the Optional Extras. Here I’l | You know that in 1985 I initially thought of Dr Deming as a statistician and a fine mathematician. Of course, I soon found out that he was much more than either | Because of its appealing symmetrical shape, the normal distribution is often referred to as having a *bell-shaped* curve. It has further appeal to the Mathemati",TRUE
"mathematical world",NA,NA,6,"prose","Whenever I hear a statement like that, I *know* we're back in the mathematical world, no longer in the real world. And so it proved. | In my introduction, I've already told you one of the extraordinary things about the normal distribution: i.e. that, although the curve gives the visual *impress | Note in the diagrams that the area in either tail of the normal distribution beyond 3σ from the mean μ is 0.135%. (This is what led to the existence of the firs",TRUE
"median moving",NA,NA,6,"prose","[] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | The underlying theory about medians is, as you would expect, different from that about means. The consequence is that we will need to use a different multiplier",TRUE
"median moving range",NA,NA,6,"prose","[] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | The underlying theory about medians is, as you would expect, different from that about means. The consequence is that we will need to use a different multiplier",TRUE
"middle management",NA,NA,6,"prose","Pages 14--18 are focused on those who are at staff level---I hesitate to simply call them the ""workers"" (as some do) because I appreciate that those in manageme | If so then there is plenty of substance in ""Leadership for the Transformation"" for middle management as well. | *[As I have already pointed out, middle managers are effectively at staff level in relation to the senior management, and so the preceding pages have relevance ",TRUE
"month's figure",NA,NA,6,"prose","Despite what can be gained by using pictures rather than lists or tables of numbers, such monthly management data are often interpreted without using run charts | In fact, the Month 2 figure goes up to 19 which (following the small-print description above) is shown on the management report as 19 (+6, +46%). The numbers in | Success! As the result of the exceptional promotional efforts ordered at Month 6's management meeting, Month 7's sales have now soared to an unprecedented 21 (+",TRUE
"monthly sales figures",NA,NA,6,"prose","For illustration, imagine we have just launched a new product on the market, and consider how its monthly sales figures might develop and how the management mig | To keep things easy, I'll present the supposed monthly sales figures as simple whole numbers. For example, we might be rounding to the nearest 1,000 sales so th | A run chart of monthly sales figures, with months 1 to 3 on the x-axis and sales values on the y-axis. The line goes up sharply from 13 in Month 1 to 19 in Mont",TRUE
"nd edition",NA,NA,6,"prose","BALESTRACCI, Davis. *Data Sanity*. Medical Group Management Association, Colorado (2nd edition, 2015). | DEMING W Edwards, *The New Economics for Industry, Government, Education*. Massachusetts Institute of Technology, Center for Advanced Engineering Study, Cambrid | KILIAN Cecelia S, *The World of W Edwards Deming*. SPC Press, Knoxville, TN (2nd edition 1992).",TRUE
"Nelson's original",NA,NA,6,"prose","So, returning to our version of the Funnel Experiment, if tampering doesn't do any good (to put it mildly), how might we really ""improve the process"", i.e. redu | As you know, **Rule 1** simply produces the unadulterated data coming from the underlying process of throwing the dice or, in Dr Nelson's original version of th | In case that might be possible, let me tell you what I did in my seminars. As you will remember, Dr Nelson's original version of the experiment is rather tricky",TRUE
"Net Effect",NA,NA,6,"prose","The conclusion from this basic version of the exercise is that, since there happen to be an equal number of + signs and − signs in Table Two, all that work of a | In Table Four we see that there were altogether seven such new options under consideration; all of these therefore had a − in the area which was able to adopt i | It is worth noting that, as a check on your arithmetic, the total number of + signs and − signs in the bottom row should, of course, be exactly the same as in t",TRUE
"numerical target",NA,NA,6,"prose","Except for cheating, our understanding of variation teaches us that a number will be largely what the system provides. So, to reach a numerical target, one has  | I had the good fortune to meet Dr Juran in 2002. He gave me further insights on how people distorted important and valid ideas to create such monstrosities. He  | A Scientific Approach is necessary for genuine improvement, be it continual or otherwise, because of its emphasis on the system and processes both in concept an",TRUE
"off centre",NA,NA,6,"prose","I only stayed for three out of those four days that time because his concepts of cooperation and win-win *[one of the three topics to be explored here on Day 8] | 2. *Taguchi:* There is more to be gained from properly centring a process which has small variation than one which has large variation. If the process has large | *Conformance to specifications:* It doesn't matter if a process is off-centre—as long as it is not off-centre enough to reach out-of-specification values. In fa",TRUE
"often pointed",NA,NA,6,"prose","Dr Deming often pointed out that people working in a process may know everything about that process except for realising the importance of what they know! By di | The Foreman then takes the paddle over to the Inspection Department, so that both the junior inspectors and the Chief Inspector can learn their jobs. Inspection | Related to this is that the delegates often pointed out that Charts A1–F1 looked pretty ""boring"" whereas Charts A2–F2 looked relatively ""interesting"". Again, th",TRUE
"only visible",NA,NA,6,"prose","## Disease 5. Use of only visible figures *( )* | With that summary of invisible figures in mind, the obstructive effect to real quality of dependence on only visible figures becomes immediately evident—frighte | The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B",TRUE
"only visible figures",NA,NA,6,"prose","## Disease 5. Use of only visible figures *( )* | With that summary of invisible figures in mind, the obstructive effect to real quality of dependence on only visible figures becomes immediately evident—frighte | The three items under ""Operational Definitions"" also have some interesting contributions to make. Item 7 is particularly important with reference to Point 9: ""B",TRUE
"optimum value",NA,NA,6,"prose","Your body temperature is an example of what I call a ""natural"" process. Its optimum value is said to be 98.4°F or 98.6°F, depending on the country in which you  | Years later, when I first came across the Taguchi Loss Function (studied on Day 7), I found rather more justification for concentrating on the variance than pur | This picture shows the nicely symmetric model often illustrated and used by mathematicians as the Taguchi loss function. Mathematicians know it as a ""parabola"".",TRUE
"people work",NA,NA,6,"prose","I venture to suggest that if just this one message coming from Dr Deming’s teaching were generally understood and appreciated then this world would be a better  | So, as we shall see on the next page, in *The New Economics* Dr Deming said that our need is to [""restore the individual, and do so in the complexities of inter | [Indeed, if any two or more companies or institutions put their heads together for uniform prices, they would be fools to set the price higher than what would o",TRUE
"point control",NA,NA,6,"prose","A single 48-point control chart for Process A (totals when dice are thrown). The first 30 points fluctuate quietly inside the limits — stable. **Point 31 drops  | 48-point control chart for Process B (number of Heads when coins are tossed). The first ~38 points fluctuate quietly inside the limits. From around Point 39 the | 48-point control chart for Process C (numbers of red beads from the Red Beads Experiment). Points 1–42 fluctuate inside the limits in the familiar Red Beads pat",TRUE
"point control chart",NA,NA,6,"prose","A single 48-point control chart for Process A (totals when dice are thrown). The first 30 points fluctuate quietly inside the limits — stable. **Point 31 drops  | 48-point control chart for Process B (number of Heads when coins are tossed). The first ~38 points fluctuate quietly inside the limits. From around Point 39 the | 48-point control chart for Process C (numbers of red beads from the Red Beads Experiment). Points 1–42 fluctuate inside the limits in the familiar Red Beads pat",TRUE
"post Deming",NA,NA,6,"prose","Finally, for the time being, work through the table one more time, now considering the comments you have made on both the ""Pre-Deming"" and ""Post-Deming"" sides o | ## ACTIVITY 6-b: ""Post-Deming"" Gallery Furniture | Now score Gallery Furniture in its ""post-Deming"" state against the same 14 Points and 5 Deadly Diseases, again using the 0–5 scale.",TRUE
"prescribe quotas",NA,NA,6,"prose","**Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.** Substitute aids and helpful leadership in ord | **NB** There may be a potential danger in using the summary on the previous page without clarification: it is a possible misunderstanding of the term ""work stan | **POINT 11.** [Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.] *(Day 5 pages 10--11.)*",TRUE
"previously mentioned",NA,NA,6,"prose","Since there is considerable discussion on the Funnel Experiment in *DemDim* Chapter 5 and also in both *Out of the Crisis* (pages 280–284 [327–332]) and *The Ne | **Rule 2** is yet another matter. Unusually, this overcompensation problem is often quite difficult to recognise by comparing run charts alone. There is some te | As already implied when referring to random sampling, many examples of probability calculations, both at the introductory stage and later, make use of considera",TRUE
"price tag",NA,NA,6,"prose","Unfortunately, Quality Control Departments have taken the job of quality away from the people that can contribute most to quality—management, supervisors, manag | **End the practice of awarding business solely on the basis of price tag.** Instead, require meaningful measures of quality along with price. Reduce the number  | **POINT 4.** [End the practice of awarding business solely on the basis of price tag.] *(Day 4 pages 22--23.)*",TRUE
"process limit",NA,NA,6,"prose","But one day I didn't get to work until 9.10 am—it took me 40 minutes to get there; the traffic was awful! Since 40 minutes is way above the upper process limit, | Now, maybe I haven't quite told the truth there. Perhaps the truth was that I'd overslept and actually didn't leave my house until 8.45 am. In that case the low | This method of determining process limits can be used for many kinds of processes. For instance, it has been used extensively in the field of medicine. When we ",TRUE
"process remains",NA,NA,6,"prose","With the assumptions made in the simulation study, and with the variety of baseline lengths as shown, here are the percentages of false alarms (i.e. signals tha | Further weight to the above argument comes from the fact that, even if a process remains blissfully in statistical control, control limits computed from two dif | An important practical point which arises here is that, especially when computing control limits using relatively few data-points (a short baseline), you may oc",TRUE
"professional statisticians'",NA,NA,6,"prose","Here are the professional statisticians' results: | !professional statisticians' results as a table of data. | !Week 1 of professional statisticians' results as a table of data.",TRUE
"professional statisticians' results",NA,NA,6,"prose","Here are the professional statisticians' results: | !professional statisticians' results as a table of data. | !Week 1 of professional statisticians' results as a table of data.",TRUE
"promotional effort",NA,NA,6,"prose","To keep things easy, I'll present the supposed monthly sales figures as simple whole numbers. For example, we might be rounding to the nearest 1,000 sales so th | In the same way, Month 3's figure is expressed as 18 (–1, –5%). (18 is 1 less than the previous month's 19 and is approximately 5% less than 19.) This slight de | Month 4 is a different story. The figure has suddenly dropped to 14 (–4, –22%). The management all agree that the lack of promotional effort during the past two",TRUE
"pulse rates",NA,NA,6,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | Twelve control charts arranged as six pairs (rows A through F). The **left column (A1–F1)** shows six different stable processes — dice totals, coin tosses, Red | Moving on to the ""serious"" processes, you may have noticed that my pulse-rates on Chart D1 were rather unhealthily high. Chart D2 shows my pulse-rates for a lat",TRUE
"Quality Circle",NA,NA,6,"prose","Let me relate a sad experience I had whilst visiting a very famous company in Pune. I came across a poster on the shop-floor which supposedly described KAIZEN.  | As far as I know, the Quality Circle movement originated in Japan around 1962. Some companies started to encourage informal groups who, during their breaks and  | Quite simply, the Quality Circle concept was created as one of many ways to promote cooperation and learning. Let me now take this a step further. I would like ",TRUE
"random numbers",NA,NA,6,"prose","Random sampling can only properly be done by allocating a number to each bead and then selecting the beads according to genuine random numbers (or, more practic | > ""It would … be wrong to attach any particular figure to the probability that a statistical signal for detection of a special cause could be wrong, or that the | I well remember that, the first few times I was preparing to run the Red Beads Experiment in public, I felt rather nervous. Wouldn't you—knowing that you (as th",TRUE
"real life",NA,NA,6,"prose","But what kind of sampling does one carry out in industrial experiments and other “real-life” data-gathering: random or mechanical? | So indeed, at one level, this is a “stupidly simple” experiment. At another level, however, it is enormously rich and profound—and is it not surely close to man | except that the ""if""s are not usually emphasised as I have just done. Where do the ""if""s come from? In a subject like Mathematical Statistics they are quite lik",TRUE
"red beads obtained",NA,NA,6,"prose","So the average number of red beads obtained by the statisticians was . | Then the average number of red beads obtained by the Spaniards was . | The almost automatic presumption that the long-term proportion of red beads obtained in the experiment must equal the proportion of red beads in the container i",TRUE
"reducing variation",NA,NA,6,"prose","- Variation produces undesirable differences both internally and externally. Both are bad for the organisation concerned. As just observed, variation within pro | But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Red | Links to the Joiner Triangle are less direct in the case of Theory of Knowledge, but nonetheless they are still there. Consider my grouping of the issues into """,TRUE
"relevant part",NA,NA,6,"prose","There is one piece of advance reading that I shall definitely recommend for you near the start of each half-day. Later this afternoon I'll ask you to read some  | Now comes the most substantial section of each half-day in which you will work through the relevant part of the 1990 version of the System of Profound Knowledge | The final phase of the work will be for you to indicate on a simple 0–5 scale what, at that stage, you understand and appreciate as the strength of the links be",TRUE
"Relevant reading",NA,NA,6,"prose","Relevant reading:",TRUE
"results obtained",NA,NA,6,"prose","Now comes a master-stroke in the introductory conventional Statistics course: to combine the ideas presented above into a unified theory so as to create a basis | As we have seen in the crash-course and would soon be seen in the introductory conventional Statistics course, one common way of describing the data is in terms | However, I should first point out that simulation studies do have some similar drawbacks to mathematical solutions, in particular that it is necessary to make s",TRUE
"sales figure",NA,NA,6,"prose","To keep things easy, I'll present the supposed monthly sales figures as simple whole numbers. For example, we might be rounding to the nearest 1,000 sales so th | In the same way, Month 3's figure is expressed as 18 (–1, –5%). (18 is 1 less than the previous month's 19 and is approximately 5% less than 19.) This slight de | Sighs of relief are audible in Month 5's management meeting. The decline in the sales figure has been reversed by the revitalised promotional effort: the figure",TRUE
"same conditions",NA,NA,6,"prose","Let me emphasise a few basics. By ""a-few-at-a-time"" data I am implying that we are now dealing with what were referred to above as ""samples"" rather than just si | Why ""subgroups""? Actually, I can't recall ever having seen that word very precisely described! But presumably the idea is that there is some *group* of observat | There is one aspect of the *Japanese Control Chart* that I must advise you *not* to copy unless you already have really considerable knowledge and understanding",TRUE
"sample standard",NA,NA,6,"prose","As we would have hoped, the Central Lines and the control limits are quite similar in the two simulations—although, of course, they're not in exactly the same p | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | If the value of σ is known then the first and last parts of this relationship can be evaluated, thus providing an interval within which we ""are 95% confident th",TRUE
"sample statistics",NA,NA,6,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | ## Histograms and sample statistics",TRUE
"seasonal effect",NA,NA,6,"prose","So, in both cases, compute the positions of the Central Line and control limits from the data over your chosen baseline and draw them in on your run chart. Now, | There are other types of indications of special causes that can be seen even without the help of control limits. Examples are apparent trends (as we have seen o | You'll now be appreciating how experience and relevant knowledge of the subject-matter should come into play when judging how long particular suspicious-looking",TRUE
"self improvement",NA,NA,6,"prose","First, whereas training is very focused, ""education"" implies breadth—learning about other areas—and this often provides inspiration about what could be helpful  | **Institute a vigorous programme of education, and encourage self-improvement for everyone.** What an organisation needs is not just good people; it needs peopl | **POINT 13.** [Institute a vigorous programme of education, and encourage self-improvement for everyone.] *(Day 5 pages 14--15.)*",TRUE
"self interest",NA,NA,6,"prose","On the other hand, if you are fortunate enough to be in an organisation that is not completely at the dark end of the spectrum, you can enjoy yourself by initia | Finally, there is a very important practical consideration to confirm and emphasise. What sort of things should be considered when allocating these ""grades""—whe | **Step 2.** Now decide on some ""options""—strategies, decisions, behaviours, etc—which each of the three areas in turn might consider adopting. If the organisati",TRUE
"shop floor",NA,NA,6,"prose","A very strong emphasis on viewing an organisation as a system is obvious throughout the Attributes of a Leader. The relevance of the Scientific Approach to unde | Only recently, the entire management of a large manufacturing concern supposed, by their own declaration, that if all 2,700 operations in the plant were carried | One kind of false start arises from the supposition that wholesale teaching of statistical methods to enough people in production will turn things around. Under",TRUE
"short true",NA,NA,6,"prose","We shall spend most of today with the true story of Gallery Furniture, learning of a journey from ""bad practice"" to ""good practice"" based on Dr Deming's theory  | Today involves rather less than the fairly full day's work designed for most days in this course. So, if you need more time on parts of today's study than I am  | Why do these techniques have such harmful effects? If you worked successfully at the First Project on Days 4 and 5, you are already well able to produce answers",TRUE
"short true stories",NA,NA,6,"prose","We shall spend most of today with the true story of Gallery Furniture, learning of a journey from ""bad practice"" to ""good practice"" based on Dr Deming's theory  | Today involves rather less than the fairly full day's work designed for most days in this course. So, if you need more time on parts of today's study than I am  | Why do these techniques have such harmful effects? If you worked successfully at the First Project on Days 4 and 5, you are already well able to produce answers",TRUE
"significance level",NA,NA,6,"prose","As you will see later, Deming was alluding here to the conventional statistician attempting to treat control charts as if they were hypothesis tests. A hypothes | But how large is ""relatively large""? The same figures as before provide the answer. For example, if H₀ is true then we know (exactly or approximately) 95% proba | There are two further aspects of confidence intervals that can also be carried over into hypothesis testing. First, if *n* is small but normality is assumed the",TRUE
"staff areas",NA,NA,6,"prose","The strong link here is wholly obvious. But note the implications concerning management style. Anything (and there is often much) that management does to erect  | **Break down barriers between departments and staff areas.** People in different areas, such as Research, Design, Sales, Administration, and Production, must wo | **POINT 9.** [Break down barriers between departments and staff areas.] *(Day 5 pages 6--7.)*",TRUE
"statistical inference",NA,NA,6,"prose","- Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | [] However, there are a couple of particular probabilities that are frequently used in applications of the normal distribution to popular techniques of so-calle | On pages 54 and 55 I briefly describe the two most commonly-used methods of statistical inference, and the way in which these particular figures apply to them.",TRUE
"statisticians' results",NA,NA,6,"prose","Here are the professional statisticians' results: | !professional statisticians' results as a table of data. | !Week 1 of professional statisticians' results as a table of data.",TRUE
"Summary of Teachings to Top Management",NA,NA,6,"prose","If and when the time comes that you might like to learn more about the man as well as his message (for this final recommendation does both), treat yourself to * | ## A Summary of Teachings to Top Management and to Engineers in Japan | We saw this diagram on as the first of Dr Deming's ""Summary of Teachings to Top Management and to Engineers in Japan"" . We shall revisit it at greater length on",TRUE
"System of Profound Trouble",NA,NA,6,"prose","There will nevertheless still be occasional reminders of the bad: e.g. on Day 12, in contrast to Deming's System of Profound Knowledge, we'll take a look at Pet | Advance notice: On Day 12, for still further learning and also amusement, we shall see Peter's superb parody of the above diagram: ""A System of Profound Trouble | Section 2 contains some excellent material from Peter Scholtes. We will begin by reading a fascinating account of one of his earliest experiences as a teacher a",TRUE
"The Deming Management Method",NA,NA,6,"prose","WALTON Mary, *The Deming Management Method*. Dodd, Mead & Co Inc (1986), Mercury, London (1989). | [^a]: The ""Epilogue"" on pages 241–244 of Mary Walton's book *The Deming Management Method* contains a much more substantial account of Dr Deming's presentation  | The quotation from Mary Walton's book *The Deming Management Method* (the Deming Prize Ceremony speech footnoted in the previous chapter) has been included with",TRUE
"time taken",NA,NA,6,"prose","On the other hand, probably all the figures reported at monthly management meetings are from what I call ""man-made"" processes. Obviously, they are reported at t | To determine the average time taken we add up these times and divide by the number of data, i.e. 10. This gives the average time taken as 200 ÷ 10 = 20 minutes. | That may sound pessimistic! But is it? Can we predict with exact precision the output of any process, e.g. our pulse rate at any moment? No, we cannot. Nobody c",TRUE
"touched upon",NA,NA,6,"prose","As I said, these all relate to matters we have touched upon during this Prelude. Can you think about them and see how they do so? | Of two books by Dr Wheeler that I particularly recommend, some such matters are touched upon in *Understanding Variation* but are dealt with more comprehensivel | But first, on Appendix pages 10–12 I have discussed some further messages from the Red Beads Experiment. You might possibly have touched upon one or two of thes",TRUE
"unknowable figures",NA,NA,6,"prose","When visible figures are available then, of course, we need to learn how to use them appropriately. The appeal of the proliferation of tools and techniques, and | (3) On *DemDim* pages 34–35 we saw Lloyd Nelson's statement about the importance of ""unknown and unknowable"" figures, followed by a number of illustrations. Spe | A single bordered box listing Neave's revised topics for the Scientific Approach corner of the Joiner Triangle. The five entries: collect data when possible, bu",TRUE
"upper process",NA,NA,6,"prose","I'll illustrate that very simply with the time it takes me to travel to work. Suppose that I have been keeping records and have carried out some simple calculat | But one day I didn't get to work until 9.10 am—it took me 40 minutes to get there; the traffic was awful! Since 40 minutes is way above the upper process limit, | The moving ranges add up to 18. There are nine of them and so the average moving range is = 18 ÷ 9 = 2 minutes. Then, if you recall, we compute the distance on ",TRUE
"Welcome section",NA,NA,6,"prose","Also in America, SPC Press Inc ( ), who published my book *The Deming Dimension* in 1990 (see pages 12–13 in the Welcome section of file A. PLEASE START HERE),  | A couple of points of clarification will be useful here. Firstly, the original editions of these little books of Statistics Tables were published as long ago as | There is some detailed information about *The Deming Dimension* on pages 12–13 of the Welcome section in the “A. PLEASE START HERE” file.",TRUE
"within specifications",NA,NA,6,"prose","Rule 2 is the case where, as we know both from the Ford example and from your own work in the Major Activity, the situation is undesirable compared with Rule 1, | But, even if the ""performance indicator"" is a more reasonable proposition in the context of a ""thing"", the mentality of it being sufficient for that performance | Results ""a"" and ""c"" are ""OK"": they are within specifications, they have met requirements, and so the ""things"" represented by those figures are presumed suitable",TRUE
"without knowledge",NA,NA,6,"prose","> [""To copy without knowledge of theory a company that is doing well is to invite destruction.""] | We have discussed some of the errors made when those without knowledge have tried to copy KAIZEN, Quality Circles, and ""Zero Stock"" or ""Just In Time"". | It is such a trite error to imagine that, by merely copying a few Japanese words and trying to copy a few of their concepts (excluding Six Sigma—this was a West",TRUE
"Your notes on these items.",NA,NA,6,"ui","./content/days/day-10/04-theory-of-variation.qmd",TRUE
"Your notes.",NA,NA,6,"ui","./content/days/day-11/06-knowledge-of-psychology.qmd",TRUE
"zag pattern",NA,NA,6,"prose","But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Red | !First long Rule 2 control chart: persistent zig-zag pattern throughout all 50 points, with the run line never approaching either control limit — the hugging-th | Peter was then able to point out to them that this is definitely *not* random variation! Random variation does not have patterns (except occasionally and briefl",TRUE
"zig zag pattern",NA,NA,6,"prose","But the links are stronger still. In one of my seminars I often used a slide which simply shows the Joiner Triangle with two words inscribed in the middle: ""Red | !First long Rule 2 control chart: persistent zig-zag pattern throughout all 50 points, with the run line never approaching either control limit — the hugging-th | Peter was then able to point out to them that this is definitely *not* random variation! Random variation does not have patterns (except occasionally and briefl",TRUE
"achieve quality",NA,NA,5,"prose","**Eliminate the need for mass inspection as a way to achieve quality** by building quality into the product in the first place. Require statistical evidence of  | **POINT 3.** [Eliminate the need for mass inspection as a way to achieve quality.] *(Day 4 pages 20--21.)*",TRUE
"arbitrary numerical",NA,NA,5,"prose","## Point 11. Eliminate arbitrary numerical targets *( )* | Again, this is quality ""across the board"". Those [""arbitrary numerical targets""] do the opposite—they focus attention on bits and pieces of the picture and, if  | Just a few comments here that I hope may be helpful. Regarding Category 1—""facts of life"", i.e. matters that are unarguable and not a matter of opinion, remembe",TRUE
"arbitrary numerical targets",NA,NA,5,"prose","## Point 11. Eliminate arbitrary numerical targets *( )* | Again, this is quality ""across the board"". Those [""arbitrary numerical targets""] do the opposite—they focus attention on bits and pieces of the picture and, if  | Just a few comments here that I hope may be helpful. Regarding Category 1—""facts of life"", i.e. matters that are unarguable and not a matter of opinion, remembe",TRUE
"automatic compensation device",NA,NA,5,"prose","Then recall the simple example on . I observed that changing the *average* of my process there would be very easy. And, in my experience, it is indeed very ofte | Input shafts for a transmission were turned in a machine equipped with an expensive automatic compensation device. If the diameter of a shaft was too large, the | A histogram of 50 shaft diameters made *with* the automatic compensation device switched on. The distribution is broad and reaches outside the specification lim",TRUE
"Average Taguchi Loss",NA,NA,5,"prose","Actually, if you want to measure ""quality"", a little mathematics shows that Taguchi's study of ""loss"" leads to a very neat criterion. (For those who are interes | If you have a control chart then you can immediately compute a value for this expression. You will (directly or indirectly) have used a value of σ to find the c | If you are mathematically inclined, you might like to use the above criterion to verify the following alarming argument. Let's consider starting with the proces",TRUE
"awarding business solely",NA,NA,5,"prose","**End the practice of awarding business solely on the basis of price tag.** Instead, require meaningful measures of quality along with price. Reduce the number  | **POINT 4.** [End the practice of awarding business solely on the basis of price tag.] *(Day 4 pages 22--23.)*",TRUE
"Balaji's Preludes",NA,NA,5,"prose","For the second section of your preparation (your general grounding in the System of Profound Knowledge before tackling the detail during the project) I suggest  | During what follows in Days 10 and 11 I have also added what I hope you will find to be a few useful expansions and helpful hints. Sometimes I shall repeat mate | I hope you are working at a reasonable-sized table or desk! For, if you have been able to carry out the copying that I suggested at the top of , you can now hav",TRUE
"baseline period",NA,NA,5,"prose","However, I should first point out that simulation studies do have some similar drawbacks to mathematical solutions, in particular that it is necessary to make s | With the assumptions made in the simulation study, and with the variety of baseline lengths as shown, here are the percentages of false alarms (i.e. signals tha | ### (B) What is the likelihood of there being any signals (i.e. false alarms) *during* the baseline period?",TRUE
"Beads data",NA,NA,5,"prose","So let's now carry on as we did through much of yesterday with the various sets of Red Beads data: let's now upgrade the run chart to a control chart by inserti | As a minor point of detail, notice the thin blue line in the middle of the chart. This is the ""Central Line"" representing the average of the data-values from wh | Interpreting the red beads as ""defective items"", we immediately see that the method for computing the limits described there is indeed appropriate for Red Beads",TRUE
"Bill Conway",NA,NA,5,"prose","Almost five more years passed before Bill Conway discovered that this “Deming” was in fact an American, Dr W Edwards Deming who, although already in his late 70 | Now, depending on your background, one feature of the previous section may have already started making you feel a little queasy. And that is the repeated refere | Wasted years. But wasted years which, as we saw on page 2, thankfully ended when Bill Conway sought him out in 1979.",TRUE
"binomial coefficient",NA,NA,5,"prose","The ""shorthand"" for this big fraction that I've shown on the right-hand side is known as a *binomial coefficient*. Notice that there are exactly terms in both t | Some particular values of this expression are easy to check. For example, if then we get just the single term at the top and the single term 1 at the bottom, wi | So now, moving on to the induction process, let's assume that the above binomial coefficient is the correct number of sequences of length which contain S's (for",TRUE
"business solely",NA,NA,5,"prose","**End the practice of awarding business solely on the basis of price tag.** Instead, require meaningful measures of quality along with price. Reduce the number  | **POINT 4.** [End the practice of awarding business solely on the basis of price tag.] *(Day 4 pages 22--23.)*",TRUE
"Clearly define",NA,NA,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE
"Clearly define top",NA,NA,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE
"competing against",NA,NA,5,"prose","Indeed, ranking and rating are not just senseless—they are harmful. Reflecting the question posed on page 1, why should people [""work together""] (for the advant | When Dr Deming was speaking to Japanese industrialists in the early 1950s, he warned them that they would be in danger of destroying each other if they focused  | ## Competing against or competing with?",TRUE
"continuous case",NA,NA,5,"prose","So, when we have continuous data, can we copy what we did with discrete data such as when we were examining the number of Heads when two coins are tossed? That  | For example, in the discrete case our approach was to obtain approximations for the probabilities of each of the various possible values as the proportion of ti | On the other hand, although this demonstrates what we *can't* do in the continuous case, it also shows us what we *can* do. That is to consider probabilities of",TRUE
"control chart's",NA,NA,5,"prose","Some control-charting computer packages include a picture of a histogram turned through 90° (so that its scale coincides with the control chart's vertical scale | I hope you will have found it helpful to gain that additional experience of constructing and interpreting control charts. However, to be fair, Funnel Experiment | We have already seen on page 15 the control chart for the results recorded by Dec, and what it tells us in the Pause for Thought 2–e. (If you need reminding, lo",TRUE
"control limits computed",NA,NA,5,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | [] In this sort of case, the sample mean cannot really do a very good job of genuinely reflecting the typical kind of values being recorded: it will still be a  | A control chart of all 24 values from the first process, but with the control limits computed using only the first 12 (LCL ≈ 9.75, UCL ≈ 14.59, Central Line at ",TRUE
"control process",NA,NA,5,"prose","!Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | As you'll recall, in Major Activity 3–h you summarised your data from Rules 1 and 2 of the Funnel on histograms and your data from Rules 3 and 4 on run charts.  | Again let's look first at the short control charts of the two simulations. The second one does not appear to have anything much to tell us, but I suggest the fi",TRUE
"conventional course",NA,NA,5,"prose","We began with what I described there as ""quite familiar ground"": the histogram. And, of course, to an extent, it was. But when the histogram was introduced earl | With our Shewhart/Deming background we are very likely to presume that the data being illustrated in a histogram come from some *process*: we regard the underst | As we have seen in the crash-course and would soon be seen in the introductory conventional Statistics course, one common way of describing the data is in terms",TRUE
"conventional management",NA,NA,5,"prose","All One Team means what it says. Many approaches to quality improvement involve formation of teams, maybe lots of them—but, as previously observed (during Point | But instead, let's go more directly to the Points and Deadly Diseases. In Part D you will have seen strong emphasis on matters such as dignity, self-esteem, res | A left-to-right chain of five linked boxes showing Deming's Chain Reaction. **Improve processes and product** leads to **Costs decrease**, which leads to **Capt",TRUE
