"term_en","fr_rendering","source","frequency","occurrence_types","contexts","decision_needed","approved_fr","decision","reviewer_notes"
"Deming's second",,,5,"prose","Here is an abbreviated version of Deming's second quotation on page 30: | How may we be sure about what the customer will receive from us if we do not use mass inspection techniques? Answer: By getting processes and the product/servic | However, Deming's second sentence indicates that he is thinking in much broader terms than just this. That second sentence is obviously true. But why does it ap",TRUE,,,
"Deming's words",,,5,"prose","As we know, Points 1 and 5 and the first Deadly Disease are concerned with genuine, sustained and sustainable improvement, and that most certainly is what the D | A histogram of measurements taken during production, with a Lower Specification Limit drawn at 6.2 mils and no upper limit. The distribution rises sharply on th | My choice of Dr Deming's words here are few but surely ""hit the nail on the head"".",TRUE,,,
"derived using",,,5,"prose","But what about those control-chart constants like 2.66? Now, some nice mathematics *is* needed in order to derive them. And it is true that they are derived usi | However, to conclude here, there was yet another example of the use of an unbiased estimator in Part B of these Optional Extras: see page 20. It was adjustment  | was introduced on page 20 as the conversion factor by which a subgroup range needs to be divided in order to scale it down to a number which is comparable to th",TRUE,,,
"different levels",,,5,"prose","There is a close analogy in the branch of traditional Statistics known as the Design of Experiments or Analysis of Variance (so if you're Stats-level 0 then you | Less trivially, suppose the data alternately measure efficiency or productivity etc of both a day-shift and a night-shift. There could be many reasons for a zig | *""the control chart can serve very effectively as a **communication language** within and between departments in an organisation, between different levels of ma",TRUE,,,
"different people",,,5,"prose","- Understanding that people are inherently good: they *want* to do a good job; - Understanding that different people learn differently and hence think different | Anyone who has been involved with the effects of awarding business on lowest price knows, through bitter experience, the huge additions to variation—and therefo | As you can see from *DemDim* pages 50–51, Dr Deming's opinion of performance appraisal was unambiguously damning. But the term ""performance appraisal"" means dif",TRUE,,,
"different things",,,5,"prose","When Dr Deming was asked what it was that the Japanese learned from him, one of his answers was that he taught them a different way of perceiving things around  | Each aim turns the tiger into a different system: it will behave differently, it will do different things. In the first system the tiger becomes a predator. It  | Whatever is tried, the fact remains that different things (be they bus journeys, manufactured sockets, or anything else) are almost always different! This is be",TRUE,,,
"directly related",,,5,"prose","And what else? His philosophy of management is wholly *system*- or *process*-orientated. It sees things (including, very much, things to do with people) as full | The structure of this course is largely chronological, beginning with Shewhart's understanding of variation and then concentrating on Dr Deming's teaching durin | > Prelude C: ""Preludes"" pages 15--19. Prelude C is mostly related to Area 2, but there are also a couple of matters directly related to this first area. > > *De",TRUE,,,
"distributed data",,,5,"prose","- A very long while ago, I used to teach control-charting the “conventional” way, i.e. trying to interpret control limits in terms of probabilities, saying that | Nevertheless, the normal distribution has such appealing mathematical properties for the conventional statistician that I need to tell you a little more about i | - Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(**",TRUE,,,
"distribution having",,,5,"prose","The above link between probability distributions and histograms immediately raises the idea of a *probability distribution* having its own *mean* and *standard  | There is one respect in which this statement can be confusing. Let's suppose the data are being drawn from a distribution having mean μ and standard deviation σ | I therefore wrote a program to generate a large number of series of data from a normal distribution having σ = 1, and in each case calculate *MR̄* ÷ 1.128. I ch",TRUE,,,
"distributions particularly",,,5,"prose","- Introduction - Part A: Using control charts on Funnel Experiment data — an extension of Major Activity 3–h 1. Introduction 2. Rules 1 and 2 of the Funnel *(** | - Summarising ""raw data"" through pictures such as histograms and the calculation of ""sample statistics"" such as the sample mean *X̄* and the sample standard dev | ## Probability distributions, particularly the binomial distribution",TRUE,,,
"doing well",,,5,"prose","A man just called on the telephone from Johannesburg with the proposal that he come to this country and visit with me six companies that are doing well. He need | Too often this is the story. The management of a company, seized with a desire to improve quality and productivity, knowing not how to go about it, having not g | It was related to me during a seminar that the management of a company that makes furniture, doing well, took it into their heads to expand their line into pian",TRUE,,,
"don't get",,,5,"prose","> [""Annual appraisal of performance … annihilates teamwork: people can not work together … you have to get ahead. By working with a team, you help other people. | [] Now, don't get me wrong. I'm not trying to imply that, because the Mathematician's assumptions are rarely if ever attainable in practice, Mathematics is usel | Lacking basic understanding of variation, management may with best intentions have used Rules 2 and/or 3 in the hope that they would produce better results than",TRUE,,,
"don't need",,,5,"prose","However in America, for example, an improvement is not considered to be an improvement unless there is a ""visible figure"" to support it: some cost reduction or  | Actually, the good news is that, for the purpose of constructing and using control charts for a-few-at-a-time data, i.e. using *subgroups* rather than one-at-a- | i.e. it's the sum of the values multiplied by the *probabilities* that those values occur. Ah, so to compute μ we don't need to do all that sampling after all! ",TRUE,,,
"don't want",,,5,"prose","First, just a few weeks after initially hearing about ""six-sigma"", I read papers in two journals (which I shall not reference because I don't want you to read t | Let's give just one further illustration. Suppose that, for some reason, you wanted to find the probability that lies in the interval between and 1.8: . All you | This Overture performs a similar function. It does indeed expose you to an initial ""feel"" of what is to follow, of both the nature and some of the content of th",TRUE,,,
"Dr Deming included",,,5,"prose","Here is a selection of illustrations *suggested by delegates* in the earliest four-day seminars at which Dr Deming included the Funnel Experiment. As suggested, | On *The New Economics* page 36 *[51]*, Dr Deming included a suggestion for the aim of a system in which human beings are involved. It was [""for everybody to gai | Dr Deming included a few histograms in *Out of the Crisis*. I particularly like his commentary on the following histogram which I have redrawn from page 229[267",TRUE,,,
"Dr Deming said",,,5,"prose","Let's summarise more generally what we have covered. We have seen how theory is the basis of all learning and development of knowledge. We have seen that theory | So, as we shall see on the next page, in *The New Economics* Dr Deming said that our need is to [""restore the individual, and do so in the complexities of inter | Why do you think Dr Deming said that, if you manage by results, both quality and morale go down?",TRUE,,,
"Dr Deming saw",,,5,"prose","This is where Dr Deming saw this Deadly Disease as being its most damaging (*Out of the Crisis* page 103 *[121]*): | The following sentence (*The New Economics* page 69 [102]) is a summary of what Dr Deming saw as necessary for conveying knowledge (as opposed to information): | Yes, be sure that Dr Deming did compute those control limits correctly! So, in order to produce a reasonable picture, he did indeed need to use a drastically di",TRUE,,,
"Dr Neave",,,5,"prose","!Dr Deming and Dr Neave | 10 VACANCIES (educational requirements minimal) 1 RECORDER — able to write neatly and to perform simple arithmetic 1 CHIEF INSPECTOR — able to compare figures a | When I began this project I shared early drafts privately, and I did not want to publish the site widely without Dr Neave's approval. Through Richard Hamilton, ",TRUE,,,
"dynamic scientific",,,5,"prose","### ""A dynamic scientific process of acquiring knowledge"" | > ""The three steps constitute a dynamic scientific process of acquiring knowledge."" | A dynamic scientific process of acquiring knowledge! Rather different from *done; finished; gone!* And this was back in 1939---hardly ""rocket science""! But emin",TRUE,,,
"dynamic scientific process",,,5,"prose","### ""A dynamic scientific process of acquiring knowledge"" | > ""The three steps constitute a dynamic scientific process of acquiring knowledge."" | A dynamic scientific process of acquiring knowledge! Rather different from *done; finished; gone!* And this was back in 1939---hardly ""rocket science""! But emin",TRUE,,,
"economic age created",,,5,"prose","**Adopt the new philosophy. We are in a new economic age,** created in Japan. We can no longer live with commonly accepted levels of delays, mistakes, defective | **POINT 2.** [Adopt the new philosophy. We are in a new economic age, created in Japan.] *(Day 4 pages 18--19.)*",TRUE,,,
"economic loss",,,5,"prose","> “So what shall we do? Anyone can set for himself a clean record from this hour henceforth on *one* of the two mistakes. But, if he does, he will achieve the m | > ""How can we aim for minimum economic loss? It is *nothing* to do with probabilities of the two kinds of mistakes. No, no, no, no: not at all. What we need is  | > ""How can we aim for minimum economic loss? It is *nothing* to do with probabilities of the two kinds of mistakes. No, no, no, no: not at all. … It is not a ma",TRUE,,,
"eight options",,,5,"prose","Two side-by-side worksheets sharing the same layout: a tall left column **Areas and their Options** (rows grouped by Area A in blue, Area B in orange, Area C in | So, as in *DemDim*, three options are adopted in both Areas A and C, and two options in Area B. Otherwise Table One simply shows that all eight options are adva | The conclusion from this basic version of the exercise is that, since there happen to be an equal number of + signs and − signs in Table Two, all that work of a",TRUE,,,
"either case",,,5,"prose","- Variation produces undesirable differences both internally and externally. Both are bad for the organisation concerned. As just observed, variation within pro | Since you have already seen the run charts of both Rules 3 and 4, you may well suspect there is not much further description necessary in either case. You'd be  | An obvious way to attempt to improve results from a process is to compare the current outcome (today's bus arrival time or the width of the socket just manufact",TRUE,,,
"either Specification",,,5,"prose","!Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | The process appears to be in statistical control, but the distance from the Central Line to either Specification Limit is only around 4.5σ rather than the desir | Spot the difference! Yes, we have now improved the process, i.e. reduced σ, sufficiently enough for the distance between the Central Line and either Specificati",TRUE,,,
"either Specification Limit",,,5,"prose","!Control chart showing an in-control process whose distance from the Central Line to either Specification Limit is only about 4.5σ, short of six-sigma quality | The process appears to be in statistical control, but the distance from the Central Line to either Specification Limit is only around 4.5σ rather than the desir | Spot the difference! Yes, we have now improved the process, i.e. reduced σ, sufficiently enough for the distance between the Central Line and either Specificati",TRUE,,,
"Eliminate work",,,5,"prose","**Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.** Substitute aids and helpful leadership in ord | **POINT 11.** [Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.] *(Day 5 pages 10--11.)*",TRUE,,,
"Eliminate work standards",,,5,"prose","**Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.** Substitute aids and helpful leadership in ord | **POINT 11.** [Eliminate work standards that prescribe quotas for the workforce and numerical goals for people in management.] *(Day 5 pages 10--11.)*",TRUE,,,
"empirical evidence",,,5,"prose","But what about those control-chart constants like 2.66? Now, some nice mathematics *is* needed in order to derive them. And it is true that they are derived usi | > ""… the fact that the criterion which we happen to use has a fine ancestry of highbrow statistical theorems does not justify its use. Such justification must c | The conventional statistician has sometimes produced some claims about control charts, claims that indeed have a very fine ancestry. But where is their empirica",TRUE,,,
"empirical observation",,,5,"prose","9. There is no such thing as a fact concerning an empirical observation. Any two people may have different ideas about what is important to know about any event | [Don't forget: an empirical observation depends on the operational definition by which it was obtained---and an operational definition is neither ""right"" nor ""w | Many news bulletins report empirical observations on matters such as unemployment, inflation, growth, the stock market, the structural deficit, national debt, a",TRUE,,,
"Encourage effective",,,5,"prose","**Encourage effective two-way communication and other means to drive out fear throughout the organisation** so that everybody may work effectively and more prod | **POINT 8.** [Encourage effective two-way communication and other means to drive out fear throughout the organisation.] *(Day 5 pages 4--5.)*",TRUE,,,
"encourage self",,,5,"prose","**Institute a vigorous programme of education, and encourage self-improvement for everyone.** What an organisation needs is not just good people; it needs peopl | **POINT 13.** [Institute a vigorous programme of education, and encourage self-improvement for everyone.] *(Day 5 pages 14--15.)*",TRUE,,,
"encourage self improvement",,,5,"prose","**Institute a vigorous programme of education, and encourage self-improvement for everyone.** What an organisation needs is not just good people; it needs peopl | **POINT 13.** [Institute a vigorous programme of education, and encourage self-improvement for everyone.] *(Day 5 pages 14--15.)*",TRUE,,,
"ever improving",,,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE,,,
"ever improving quality",,,5,"prose","**Clearly define top management's permanent commitment to ever-improving quality and productivity,** and their obligation to implement all of these principles.  | **POINT 14.** [Clearly define top management's permanent commitment to ever-improving quality and productivity.] *(Day 5 pages 16--17.)*",TRUE,,,
"ever increasing",,,5,"prose","There is obviously something wrong when a measured characteristic barely inside a specification is declared to be conforming; outside it is declared to be nonco | The content of the four-day seminars as indicated so far began to change in 1987, first steadily but then, so it seemed, at an ever-increasing pace. Dr Deming w | Associates have a vested interest in what they and their fellow-associates do in contributing to the whole. They take more joy in their work. They are listened ",TRUE,,,
"every other",,,5,"prose","The almost automatic presumption that the long-term proportion of red beads obtained in the experiment must equal the proportion of red beads in the container i | this was more information for every other child in that class. But, for the boy, this statement became *knowledge*. | Finally in this section, I cannot help but recall the times when, in school and college, there used to be prizes and ""stars"" for the work that we did. Those who",TRUE,,,
"example right",,,5,"prose","!Table One — blank (left) and filled in with the DemDim example (right) | !Table Two — blank (left) and filled in with the DemDim example (right) | !Table Three — blank (left) and filled in with the DemDim example (right)",TRUE,,,
"expanded version",,,5,"prose","After writing so much on what can and does go wrong, let's return to the System of Profound Knowledge. In case you might find it helpful, I would like to give y | In preparation for the First Project and as promised on page 2, here is a fuller version of the Triangle as used by Joiner Associates' consultants. It includes  | Here it is appropriate to recall the original expanded version of the Joiner Triangle on page 11 in addition to my subsequent suggested modification. As we saw,",TRUE,,,
"extremely useful",,,5,"prose","As you'll recall, in Major Activity 3–h you summarised your data from Rules 1 and 2 of the Funnel on histograms and your data from Rules 3 and 4 on run charts.  | On the other hand, you may of course *wish* to learn a little more or even a lot more about control charts. In that case I’ll mention three possibilities which  | By the end of 2012, I had begun to feel confident that I could incorporate much more of the experience that I had thus gained over those years into what I had s",TRUE,,,
"falling outside",,,5,"prose","**Rule 3**'s zig-zag effect is the complete opposite. (This is *negative* autocorrelation.) ""Zig-zag"" *means* up-down-up-down-up … : i.e. here the moving ranges | First, just a few weeks after initially hearing about ""six-sigma"", I read papers in two journals (which I shall not reference because I don't want you to read t | So instead, the mathematical ""truth"" enthusiasts let the process mean (and thus the whole normal distribution) wander from its ideal central position. By how mu",TRUE,,,
"familiarise yourself",,,5,"prose","I strongly recommend that you use one of your duplicate sets of tables to mimic the *DemDim* illustration as we go through it this afternoon, starting on page 1 | I shall ask you to thoroughly familiarise yourself with the following guidance *before* starting Day 10. I'm introducing these thoughts to you now to enable you | Finally, and particularly important, you will need to thoroughly familiarise yourself in advance with, as it were, the mechanics of the Second Project, i.e. wha",TRUE,,,
"fear throughout",,,5,"prose","**Encourage effective two-way communication and other means to drive out fear throughout the organisation** so that everybody may work effectively and more prod | **POINT 8.** [Encourage effective two-way communication and other means to drive out fear throughout the organisation.] *(Day 5 pages 4--5.)*",TRUE,,,
"feel free",,,5,"prose","**NB** Some of the mathematical material on this topic and others in this Technical Section may be seen as overly basic by those who are experienced in Mathemat | - I repeat the implication that my introductory notes and suggestions here are in no way ""definitive"". I have no doubt that many of them can be improved upon—so | If you are not very confident about plotting points and drawing graphs, please feel free to first study my illustration (using my own temperatures and percentag",TRUE,,,
"few minutes",,,5,"prose","So I'd better try some brief explanations in my own words! ""Analytic studies"" are indeed what we have been involved with, particularly in the early days of *12  | So on every Day of this course I shall from time to time ask you to stop and do something—let’s call it a “request for action”. At one extreme the request may s | To complete this opening day of the course, take a few minutes to imagine yourself in each of the following ten pairs of opposite environments. Then compare and",TRUE,,,
"final four",,,5,"prose","The London four-day seminars became an annual event from 1985 to 1991 inclusive, and I had the same privilege of working with Dr Deming as his assistant at all  | W Edwards Deming died on 20 December 1993, at his home in Washington where he had lived since 1946, and just ten days after completing his final four-day semina | Moving on to the ""serious"" processes, you may have noticed that my pulse-rates on Chart D1 were rather unhealthily high. Chart D2 shows my pulse-rates for a lat",TRUE,,,
"final Major",,,5,"prose","The final major difference in Part C compared with elsewhere will be for you to read through two chapters from *DemDim* that you haven't previously looked at. I | Section 6 is your final Major Activity of the course. This encourages you to develop the implications of what you have learned during the course in the context  | As you read through these pages for the first time, highlight those parts which immediately strike you as being particularly relevant and/or interesting to you ",TRUE,,,
"final section",,,5,"prose","The final section of Prelude A was: ""Performing 'within limits'"". The study of whether a process is or is not performing within its limits, and what that implie | If you decided to work through the crash-course (Part D) then it may be quite a while since you read Part C. I shall therefore start by reproducing the final se | Let's start by revisiting the development of the two illustrations on pages 37–42 in Part D of (a) tossing two coins and counting the number of Heads and of (b)",TRUE,,,
"find probabilities",,,5,"prose","Both the binomial and normal distributions were introduced in Part D. The normal distribution was covered quite fully, so there is not much to add here: I shall | Finally, since the tables only go up to , how can we find probabilities for larger values of without needing to do a lot of arithmetic? For this purpose, and re | The published tables invariably apply directly just to the *standard* normal distribution, i.e. N(0,1), the normal distribution having mean 0 and variance 1. Fo",TRUE,,,
"fine ancestry",,,5,"prose","But what about those control-chart constants like 2.66? Now, some nice mathematics *is* needed in order to derive them. And it is true that they are derived usi | > ""… the fact that the criterion which we happen to use has a fine ancestry of highbrow statistical theorems does not justify its use. Such justification must c | The conventional statistician has sometimes produced some claims about control charts, claims that indeed have a very fine ancestry. But where is their empirica",TRUE,,,
"first control chart",,,5,"prose","But, before that, it is worth making the intriguing and salutary point that Shewhart himself started out thinking that the subject *could* be developed from the | !Shewhart's 1924 control chart — ""the very first control chart"" — with guidelines placed at just one standard deviation either side of the Central Line and the  | Finally, recall where we saw our first control chart: it was in the Red Beads Experiment. The control limits there were computed from all 24 of the available da",TRUE,,,
"first day",,,5,"prose","The course was of six months' duration. In the morning sessions the students had classroom interactions with the teachers. Then, in the afternoons, they worked  | On Days 2 and 3, the Major Activities will mainly be matters of time rather than requiring a great deal of deep thought. But, after Day 3, the Major Activities  | Although I hope you will find both this morning’s Overture and this afternoon’s “Deming story” to be mostly easy reading, there are times when you should be pre",TRUE,,,
"first place",,,5,"prose","So this summarises the sequence of learning, of acquiring knowledge. Actually, we could even have begun the sequence one step earlier. Why did the little boy—or | **Eliminate the need for mass inspection as a way to achieve quality** by building quality into the product in the first place. Require statistical evidence of  | In some areas at least, the world has fortunately moved on since Dr Deming came up with the third of his 14 Points. Dependence on mass inspection for quality ha",TRUE,,,
"first points fluctuate",,,5,"prose","A control chart of all 24 values from the first process, but with the control limits computed using only the first 12 (LCL ≈ 9.75, UCL ≈ 14.59, Central Line at  | A single 48-point control chart for Process A (totals when dice are thrown). The first 30 points fluctuate quietly inside the limits — stable. **Point 31 drops  | 48-point control chart for Process B (number of Heads when coins are tossed). The first ~38 points fluctuate quietly inside the limits. From around Point 39 the",TRUE,,,
"first published",,,5,"prose","As far as other books are concerned, I must of course begin with Dr Deming’s own famous *Out of the Crisis* (1986) and *The New Economics for Industry, Governme | I carried out some fairly important updates to *DemDim* in 1992, not long before *The New Economics* was first published, and I think there is little if any inc | Coincidentally, *DemDim* was first published at about the same time as the May 1990 version of the System of Profound Knowledge. However, as you will have just ",TRUE,,,
"first saw",,,5,"prose","Does that heading seem familiar? I’ll remind you a little later of where you first saw it. | However, before we begin, here's a warning. I first read about the Experiment on Red Beads at least three years before I first saw it carried out at Dr Deming's | As mentioned, the tables for the *DemDim* case are reproduced on these left-hand pages just as a reminder. If in doubt about anything, check back to the discuss",TRUE,,,
"first stage",,,5,"prose","As regards how knowledgeable somebody may become on control charts, it seems to me that there are three stages. The first stage is the *only* absolutely vital o | There are two stages in constructing a control chart. The first stage is simply to draw a run chart of the data; so here it is: | Recall that the very first stage in Rule 3 was identical to that in Rule 2 but, as was pointed out at the time, this was simply because the funnel was initially",TRUE,,,
"first step",,,5,"prose","An updated version of the Chain Reaction appears on *Out of the Crisis* page 3 (both editions). There the final three steps stay the same. The first step become | A six-column, four-row table of red-bead counts (workers across, weeks down). At this first step, only the very first cell — Worker 1, Week 1 — is filled in: a  | **2. [The supposition that solving problems, automation, gadgets, and new machinery will transform industry.] ** (*Out of the Crisis* page 108 [pages 127–128]; ",TRUE,,,
"First Strategy",,,5,"prose","So, what are those ""various possibilities"" of what you might do next? The most challenging approach would be to throw you in at the deep end and simply suggest  | So now go ahead with Rules 1 and 2 using the data you generated on Day 3. Again, your Rule 1 (Ford's Second Strategy) data are on Day 3 page 47 and the data fro | But once you have become familiar with any particular strategy then you may soon find you can carry on without continuing to use the track. Use it for as long a",TRUE,,,
"follow naturally",,,5,"prose","> ""The 14 points for management (Out of the Crisis, Ch. 2) in industry, education, and government follow naturally as application of this outside knowledge, for | > [""The 14 Points for management ... in industry, education, and government follow naturally as application of this outside knowledge, for transformation from t | Apart from a similar statement in the Preface and a brief reference to Point 1 on page 36 [51], this is in fact his only mention of the 14 Points *in the whole ",TRUE,,,
"following table",,,5,"prose","Note in the diagrams that the area in either tail of the normal distribution beyond 3σ from the mean μ is 0.135%. (This is what led to the existence of the firs | However, as mentioned earlier, the theory underlying where we place the control limits relates to standard deviations rather than to any other type of measure o | So let's see how to construct an *X̄-R* chart. As with the control charts for single values in the main text, we will need to use data collected over a few time",TRUE,,,
"fudging figures",,,5,"prose","Two particular problems with this attitude to quality are as follows (wherever the specifications originate). First, having worked to reach the standard or targ | An obvious trouble then is that it is the *number* which becomes the aim—as opposed to (a) *quality* being the aim and (b) the number (amongst many others) bein | However, despite getting into such sad short stories toward the end of today's material, I promise you that we'll finish on what I found to be a very positive n",TRUE,,,
"further away",,,5,"prose","[""A better description of the world is the Taguchi loss function""] said Deming on *Out of the Crisis* page 120 *[141]*. What's that when it's at home?! Basicall | Sooner or later, however, the marble will finish up rather further away from the target than previously which will, in Rule 3's case, position the funnel at tha | - In practice, data from many sources are mainly clustered around their average (mean) and occur less frequently further away from their mean—which is nicely il",TRUE,,,
"generating data",,,5,"prose","Since manual sampling is now effectively out of the question, we'll need to resort to computer simulations (and it won't be the last time in these Optional Extr | As you might guess from examining those figures, I was in fact generating data from N(36.8, 0.35²). | I thought it would first be interesting to go along with the conventional statistician by generating data from a normal distribution and then examining how good",TRUE,,,
"get closer",,,5,"prose","So Deming's statement is guidance for us to focus instead on what would be *best*, and work steadily to get closer and closer to it. It's called ""continual impr | Can you see what's happening? We are multiplying each possible value by the proportion of times that it occurs. But it is those very *proportions* that get clos | No: I don't intend to compute that unpleasant sum! We don't need to. Let's see what happens as . First, as we saw above, gets closer and closer to the distribut",TRUE,,,
"going back",,,5,"prose","Even before Prelude A began, we observed that Dr Deming, the man who largely catalysed the industrial turnround of Japan after World War Two, thought differentl | ### No going back | The other chapter for your additional reading is Chapter 7, which has the same title as above. Before turning to that chapter, I'll summarise the main features ",TRUE,,,
"good example",,,5,"prose","How about a brief explanation of ""enumerative studies"" in my own words? As we shall see later, an introductory course on conventional Statistics often begins by | For the results of the computer simulations shown here, I generated samples of various sizes from three continuous probability distributions. The first was one  | But small wonder that Ernie was so good. The truth is that he was the Plant Manager—the most senior of all those present. He had, of course, decided to set a go",TRUE,,,
"good intentions",,,5,"prose","This is a very common phenomenon (no pun intended!). Even when people get to understand the concept of common-cause variation, they almost always hopelessly und | I expect you will be familiar with the old saying that “the road to Hell is paved with good intentions”. Deming’s version, often repeated in his seminars, was: | But what could be wrong with good intentions and best efforts? Nothing—*if* (and that’s a big “if”) they are guided by genuine understanding. But if they are no",TRUE,,,
"grand total",,,5,"prose","**Step 6.** Finally, as shown in the table below and also in *DemDim* Figure 46, insert row totals in the right-hand column, column totals in the bottom row, an | **Step 8.** Step 7 included copying over the relevant row totals into the final column. Now complete Table Three by adding up and inserting on the bottom row th | **Step 12.** Finally, add up and write the new column totals and the grand total in the bottom row. Take a look at that grand total ...",TRUE,,,
"guide better",,,5,"prose","So Deming had a very different take on the word ""theory"". Theory is not the ""opposite"" to practice: to him, the purpose of theory was to guide *better* practice | So the truth is that the first of the three stages is strictly all you need to know in order to be able to understand Dr Deming’s *theory* of management, which  | And this use of the word does not just apply to statisticians! In Deming’s mind, the very *purpose* of theory is to help guide better *practice*. And if a theor",TRUE,,,
"guide better practice",,,5,"prose","So Deming had a very different take on the word ""theory"". Theory is not the ""opposite"" to practice: to him, the purpose of theory was to guide *better* practice | So the truth is that the first of the three stages is strictly all you need to know in order to be able to understand Dr Deming’s *theory* of management, which  | And this use of the word does not just apply to statisticians! In Deming’s mind, the very *purpose* of theory is to help guide better *practice*. And if a theor",TRUE,,,
"half hour",,,5,"prose","And for a third strong feature of the “New Climate”, I will quote from Dr Deming’s opening words in *Doctor’s Orders*, Central ITV’s half-hour 1988 documentary. | The company established a system of annual review for all employees. A software system was established plus training for all staff and reviewers. Each individua | There is one piece of advance reading that I shall definitely recommend for you near the start of each half-day. Later this afternoon I'll ask you to read some ",TRUE,,,
"hand drawn",,,5,"prose","Before considering the details, it would be useful to take a look at part of the rather famous hand-drawn *X̄-R* chart of which we have already seen something a | !Portion of the Tokai Rika *X̄-R* control chart brought back from Japan in 1982: hand-drawn on grid paper for October–November 1980, with daily subgroups of fou | A small hand-drawn sketch — the kind of run chart Peter Worthington's seminar delegates would draw when asked what ""random variation"" looks like. The line zig-z",TRUE,,,
"hand page",,,5,"prose","On each left-hand page I shall begin by stating the particular Point using the version in *DemDim* Chapter 3. As mentioned early today, these statements are all | So, having read through the top half of the left-hand page, please take each of the three foundations in turn, think about my suggestions of the link(s) between | Your first task is simply to collect together all of your 0--5 scores from Activities 10a–b and 11a–b into the table on page 4. If you haven't printed out an ex",TRUE,,,
"Heads times",,,5,"prose","| | | |-----------|---------| | 0 Heads: | 3 times | | 1 Head: | 6 times | | 2 Heads: | once | | | | | |-----------|----------| | 0 Heads: | 27 times | | 1 Head: | 53 times | | 2 Heads: | 20 times | | | | | |-----------|-------------| | 0 Heads: | 256 times | | 1 Head: | 502 times | | 2 Heads: | 242 times |",TRUE,,,
"Health Service",,,5,"prose","The Government judges by conformance to specifications. Think of the various Charters, league tables, etc, etc, … . A train meets the specification if it is no  | One of the stated aims of the British Government during the late 1990s was to reduce the number of people waiting for admission to NHS (National Health Service) | **Sweeping reforms of the National Health Service will be demanded by a public inquiry into one of the worst scandals in NHS history**",TRUE,,,
"hourly workers",,,5,"prose","**Remove the barriers that rob hourly workers, and people in management, of their right to pride of workmanship.** This implies, *inter alia*, abolition of the  | **POINT 12.** [Remove the barriers that rob hourly workers, and people in management, of their right to pride of workmanship.] *(Day 5 pages 12--13.)*",TRUE,,,
"hours preparation",,,5,"prose","## RECOMMENDED “OUT-OF-HOURS” PREPARATION | ## ""OUT-OF-HOURS"" PREPARATION FOR THE SECOND PROJECT | Second, you have now seen three short introductions to the System of Profound Knowledge: Peter Scholtes's diagram, the introduction in *DemDim* Chapter 18, and ",TRUE,,,
"house seminars",,,5,"prose","Firstly, there are a number of references in this course to events that were organised by the BDA and to the substantial series of BDA Booklets that were writte | >So, what’s new? The majority of the added material focuses on a remarkable statistical technique which, to all intents and purposes, was unknown at the time of | My public and in-house seminars on Dr Deming's work date from 1986. At that stage I simply offered a one-day introduction. Apart from a little historical backgr",TRUE,,,
"I'll ask",,,5,"prose","I'll ask you to look one more time at the Optional Extras, this time on page 49. Here we have the same pictures as you saw two pages earlier (page 47) but now w | Now, before we get into the details of the Red Beads Experiment, I'll ask you to take some time on a couple of important Pauses for Thought. I wish that, on tha | It is with those experiences in mind that I'll ask you to take on the role of Foreman twice more this afternoon: the two occasions that I've just introduced, fi",TRUE,,,
"I'll give",,,5,"prose","I collected together such a set of twelve charts a long while ago and always found them to be very useful for beginning to get my delegates and students used to | The ""mindless rule"" of course has the advantages of being both easy to express and easy to use. But how can we express the wiser approach to interpreting contro | If you are reading a printout of what follows, or alternatively have a two-page display on-screen, you will see that full-size Tables One to Five are on the rig",TRUE,,,
"ideal temperature",,,5,"prose","**1.** Write down what you would regard as the most comfortable, the ""ideal"", temperature for your work: | **3.** Presumably, whatever work you are doing, you will do it best at your ""ideal"" temperature. So let's represent that amount and quality of work done at the ",TRUE,,,
"immediately see",,,5,"prose","Interpreting the red beads as ""defective items"", we immediately see that the method for computing the limits described there is indeed appropriate for Red Beads | In this case where you don't move the funnel at all, you may be able to stop using the track almost straight-away. As I've just said, you simply put the funnel  | A company was having trouble with a cutting operation for metal rods, etc—or, rather, its customers were having trouble! The cutting process had been designed t",TRUE,,,
"important point",,,5,"prose","Apart from the feature of possibly wandering off to relatively enormous distances from wherever it starts, there is another aspect of Rule 4 which is often seen | Suppose we are studying a particular process. Let's assume we know of five factors that are likely to be affecting its performance. After observing the process  | Apologies if all this seems to have been something of an elaborate hoax—although I have given you plenty of clues that all might not be as it seemed! There was ",TRUE,,,
"Improve constantly",,,5,"prose","**Improve constantly and forever the system** of planning, production, and service, in order to improve every process and activity in the company, to improve qu | **POINT 5.** [Improve constantly and for ever the system.] *(Day 4 pages 24--25.)*",TRUE,,,
